Country,State,City,Organization,lastupdate,Avg,Max,Min,Pollutant_Name,Predominant_Parameter,AQI_Value
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,5,10,2,PM2.5,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,12,24,3,PM10,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,10,19,7,NO2,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,3,4,2,NH3,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,14,19,10,SO2,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,24,33,17,CO,CO,24
India,Andhra Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",14-09-2021 10:00,17,32,14,OZONE,CO,24
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,11,21,2,PM2.5,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,35,62,8,PM10,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,15,29,8,NO2,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,2,3,2,NH3,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,9,17,1,SO2,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,17,46,4,CO,PM10,35
India,Andhra Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",14-09-2021 10:00,12,23,1,OZONE,PM10,35
India,Andhra Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",14-09-2021 10:00,NA,NA,NA,PM2.5,,
